section_number,title,chapter,bailable,compoundable,punishment,explanation_en,explanation_hi,keywords,tags,examples,case_refs,news
97,Right of private defence of the body and of property,Chapter IV,True,False,"Right recognized, not punishable if within limits","Every person has a right, subject to restrictions, to defend their body and the body of any other person against any offence affecting the human body, and to defend property against certain offences including theft, robbery, mischief, or criminal trespass.","हर व्यक्ति को कुछ प्रतिबंधों के अधीन, अपने शरीर और किसी अन्य व्यक्ति के शरीर की रक्षा करने का अधिकार है, और चोरी, डकैती, शरारत या आपराधिक अतिक्रमण जैसे अपराधों के विरुद्ध संपत्ति की रक्षा करने का अधिकार है।","[""private defence"", ""body"", ""property""]","[""general exceptions"", ""private defence""]","[""Using reasonable force to prevent a robbery at home is covered under this section.""]",[],[]
98,"Right of private defence against the act of a person of unsound mind, etc.",Chapter IV,True,False,Right recognized even if aggressor not punishable,"When an act, which would otherwise be a certain offence, is not that offence due to the person doing it being of unsound mind or under any other exemption, the right of private defence against such an act still exists.","यदि कोई कार्य, जो अन्यथा एक अपराध होता, वह इस कारण अपराध नहीं है कि करने वाला व्यक्ति विक्षिप्त है या किसी अन्य अपवाद के अंतर्गत है, तब भी उस कार्य के विरुद्ध आत्मरक्षा का अधिकार बना रहता है।","[""private defence"", ""unsound mind"", ""self-defence""]","[""general exceptions"", ""private defence""]","[""Defending oneself from an insane person attempting to cause harm is permitted under this section.""]",[],[]
99,Acts against which there is no right of private defence,Chapter IV,True,False,Defines limits of private defence,"No right of private defence exists against an act which does not reasonably cause apprehension of death or grievous hurt, or when there is time to have recourse to the protection of public authorities. The right does not extend to inflicting more harm than necessary.","ऐसे कार्य के विरुद्ध आत्मरक्षा का कोई अधिकार नहीं है जो मृत्यु या गंभीर चोट का उचित भय उत्पन्न नहीं करता, या जब सार्वजनिक प्राधिकरणों की सुरक्षा प्राप्त करने का समय उपलब्ध हो। यह अधिकार आवश्यक से अधिक हानि पहुँचाने तक विस्तारित नहीं होता।","[""private defence"", ""limits"", ""restrictions""]","[""general exceptions"", ""private defence""]","[""Using excessive force when there is no immediate threat is not protected under this section.""]",[],[]
100,When the right of private defence of the body extends to causing death,Chapter IV,False,False,Justified if conditions met,"The right of private defence of the body extends to causing death if the assault causes reasonable apprehension of death, grievous hurt, rape, kidnapping, or other severe offences specified under this section.","यदि आक्रमण मृत्यु, गंभीर चोट, बलात्कार, अपहरण या इस धारा के तहत निर्दिष्ट अन्य गंभीर अपराधों का उचित भय उत्पन्न करता है, तो आत्मरक्षा का अधिकार मृत्यु पहुँचाने तक विस्तारित होता है।","[""private defence"", ""causing death"", ""serious offences""]","[""general exceptions"", ""private defence""]","[""Killing an attacker who is attempting to commit rape may be justified under this section.""]",[],[]
101,When such right extends to causing any harm other than death,Chapter IV,True,False,Permits harm other than death if conditions met,"If the offence does not reasonably cause apprehension of death or grievous hurt, the right of private defence of the body does not extend to causing death but allows causing other harm to the assailant within reasonable limits.","यदि अपराध मृत्यु या गंभीर चोट का उचित भय उत्पन्न नहीं करता, तो शरीर की आत्मरक्षा का अधिकार मृत्यु पहुँचाने तक विस्तारित नहीं होता, लेकिन हमलावर को अन्य हानि पहुँचाने की अनुमति देता है।","[""private defence"", ""harm"", ""limits""]","[""general exceptions"", ""private defence""]","[""Causing minor injuries to prevent an assault is justified under this section.""]",[],[]
102,Commencement and continuance of the right of private defence of the body,Chapter IV,True,False,Defines start and end of the right,The right of private defence of the body commences as soon as a reasonable apprehension of danger to the body arises and continues as long as such apprehension of danger to the body continues.,"शरीर की आत्मरक्षा का अधिकार जैसे ही शरीर को खतरे का उचित भय उत्पन्न होता है, शुरू होता है और जब तक ऐसा भय बना रहता है, तब तक जारी रहता है।","[""private defence"", ""continuance"", ""commencement""]","[""general exceptions"", ""private defence""]","[""A person can defend himself as long as the threat persists.""]",[],[]
103,When the right of private defence of property extends to causing death,Chapter IV,False,False,Permits causing death under specific conditions,"The right of private defence of property extends to causing death in cases of robbery, house-breaking by night, mischief by fire on dwelling houses, or theft, mischief, or house-trespass under circumstances that cause reasonable apprehension of death or grievous hurt.","संपत्ति की आत्मरक्षा का अधिकार डकैती, रात में गृहभेदन, आवास पर आगजनी द्वारा शरारत, या ऐसी परिस्थितियों में चोरी, शरारत या गृह-उल्लंघन के मामलों में मृत्यु पहुँचाने तक विस्तारित होता है, जो मृत्यु या गंभीर चोट का उचित भय उत्पन्न करते हैं।","[""private defence"", ""property"", ""causing death""]","[""general exceptions"", ""private defence""]","[""Shooting an armed robber attempting to break into a house at night may be justified under this section.""]",[],[]
104,When such right extends to causing any harm other than death,Chapter IV,True,False,Permits non-fatal harm to protect property,"If the offence does not cause reasonable apprehension of death or grievous hurt, the right of private defence of property does not extend to causing death but allows causing other harm to the wrong-doer within reasonable limits.","यदि अपराध मृत्यु या गंभीर चोट का उचित भय उत्पन्न नहीं करता, तो संपत्ति की आत्मरक्षा का अधिकार मृत्यु पहुँचाने तक विस्तारित नहीं होता, लेकिन गलत करने वाले को अन्य हानि पहुँचाने की अनुमति देता है।","[""private defence"", ""property"", ""harm""]","[""general exceptions"", ""private defence""]","[""Injuring a thief to prevent theft without causing death is allowed under this section.""]",[],[]
105,Commencement and continuance of the right of private defence of property,Chapter IV,True,False,Defines start and end of the right,The right of private defence of property commences when a reasonable apprehension of danger to the property arises and continues until the wrongful act causing the apprehension ceases or the property has been recovered.,संपत्ति की आत्मरक्षा का अधिकार तब शुरू होता है जब संपत्ति को खतरे का उचित भय उत्पन्न होता है और तब तक जारी रहता है जब तक गलत कार्य समाप्त नहीं हो जाता या संपत्ति वापस नहीं मिल जाती।,"[""private defence"", ""property"", ""continuance""]","[""general exceptions"", ""private defence""]","[""Defending property from theft until the thief flees is covered under this section.""]",[],[]
106,Right of private defence against deadly assault when there is risk of harm to innocent person,Chapter IV,True,False,Permitted with limitations,"If in exercising the right of private defence against an assault which reasonably causes apprehension of death, the defender runs the risk of harming an innocent person, the defender retains the right of defence even at such risk.","यदि आत्मरक्षा के अधिकार का प्रयोग करते समय, जो मृत्यु का उचित भय उत्पन्न करने वाले आक्रमण के विरुद्ध किया जा रहा है, रक्षक को किसी निर्दोष व्यक्ति को हानि पहुँचाने का जोखिम होता है, तब भी रक्षक को आत्मरक्षा का अधिकार प्राप्त रहता है।","[""private defence"", ""deadly assault"", ""innocent person""]","[""general exceptions"", ""private defence""]","[""Defending against an armed attacker even if there is a risk of harming a bystander.""]",[],[]
107,Abetment of a thing,Chapter V,True,False,Punishable according to offence abetted,"A person abets the doing of a thing who instigates, engages in a conspiracy, or intentionally aids the doing of that thing.","कोई व्यक्ति किसी कार्य के करने में उकसाता है, षड्यंत्र करता है या जानबूझकर सहायता करता है, तो वह उस कार्य का अभिप्रेरक (अबेटर) माना जाता है।","[""abetment"", ""instigation"", ""conspiracy""]","[""abetment""]","[""Encouraging someone to commit theft constitutes abetment under this section.""]",[],[]
108,Abettor,Chapter V,True,False,Punishable according to offence abetted,A person abets an offence who abets either the commission of an offence or the commission of an act which would be an offence if committed by a person capable by law of committing an offence with the same intention or knowledge.,"कोई व्यक्ति किसी अपराध को, या किसी ऐसे कार्य को, जो अपराध होता यदि वह किसी ऐसे व्यक्ति द्वारा किया गया होता जो उस अपराध को करने में सक्षम होता, उसी इरादे या ज्ञान के साथ उकसाता है, तो वह अभिप्रेरक (अबेटर) होता है।","[""abetment"", ""abettor""]","[""abetment""]","[""Supplying weapons for use in a robbery is abetment under this section.""]",[],[]
109,Punishment of abetment if the act abetted is committed in consequence and no express provision is made,Chapter V,True,False,Same as offence abetted,"If the act abetted is committed in consequence of abetment, and there is no express provision for punishment, the abettor is punished with the punishment provided for the offence.","यदि अभिप्रेरक के कारण वह कार्य किया जाता है, और उसके लिए कोई विशेष दंड प्रावधान नहीं है, तो अभिप्रेरक को उस अपराध के लिए निर्धारित दंड दिया जाएगा।","[""abetment"", ""punishment""]","[""abetment""]","[""If a person abets a theft and the theft is committed, the abettor is punished as a thief.""]",[],[]
110,Punishment of abetment if person abetted does act with different intention,Chapter V,True,False,Punishable as if offence was committed,"If the person abetted does the act with a different intention or knowledge from that of the abettor, the abettor is liable as if the person had done it with the abettor's intention.","यदि अभिप्रेरित व्यक्ति वह कार्य अलग इरादे या ज्ञान के साथ करता है, तो अभिप्रेरक ऐसे उत्तरदायी होगा जैसे कि वह कार्य उसके इरादे से किया गया हो।","[""abetment"", ""different intention""]","[""abetment""]","[""If A abets B to cause hurt, but B causes grievous hurt, A is liable for abetment.""]",[],[]
111,Liability of abettor when one act abetted and different act done,Chapter V,True,False,Liable for the act done if probable consequence,"When an act is abetted, but a different act is done, the abettor is liable for the act done if it is the probable consequence of the abetment.","जब किसी कार्य को उकसाया गया है, लेकिन कोई अलग कार्य किया गया है, तो यदि वह कार्य उस अभिप्रेरणा का संभावित परिणाम है, तो अभिप्रेरक उस कार्य के लिए उत्तरदायी होगा।","[""abetment"", ""liability"", ""different act""]","[""abetment""]","[""If A instigates B to rob, but B commits murder during the robbery, A may be liable for abetment of murder.""]",[],[]
112,Abettor when liable to cumulative punishment for act abetted and for act done,Chapter V,True,False,Cumulative punishment applicable,"If the act done is a different offence from the act abetted, the abettor is liable for the act abetted and the act done if it is a probable consequence.","यदि किया गया कार्य उकसाए गए कार्य से अलग अपराध है, और वह संभावित परिणाम है, तो अभिप्रेरक दोनों कार्यों के लिए उत्तरदायी होगा।","[""abetment"", ""cumulative punishment""]","[""abetment""]","[""If A abets B to commit theft and B commits robbery, A may face punishment for both.""]",[],[]
113,Abetment of offence punishable with death or imprisonment for life if offence not committed,Chapter V,False,False,Imprisonment up to 7 years with fine,"If the abetment is of an offence punishable with death or imprisonment for life, and no express provision is made for punishment, the abettor shall be punished with imprisonment up to 7 years and fine if the offence is not committed.","यदि किसी अपराध, जो मृत्यु या आजीवन कारावास से दंडनीय है, की अभिप्रेरणा की जाती है, और कोई विशेष दंड प्रावधान नहीं है, तथा अपराध नहीं होता है, तो अभिप्रेरक को 7 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""abetment"", ""death penalty offences""]","[""abetment""]","[""If A abets B to commit murder and B does not commit it, A can still be punished.""]",[],[]
114,Abettor present when offence is committed,Chapter V,False,False,Treated as principal offender,"When the abettor is present at the time of the commission of the offence, they are treated as if they themselves committed the offence.","जब अभिप्रेरक अपराध के समय उपस्थित होता है, तो उसे ऐसा माना जाएगा जैसे उसने स्वयं अपराध किया हो।","[""abetment"", ""presence"", ""principal offender""]","[""abetment""]","[""If A instigates B to steal and is present during the theft, A is treated as if he committed theft.""]",[],[]
115,Abetment of offence punishable with death or imprisonment for life if offence not committed,Chapter V,False,False,"Up to 7 years imprisonment with fine; if act causes hurt, up to life imprisonment","If a person abets an offence punishable with death or life imprisonment, but the offence is not committed, the abettor shall be punished with up to 7 years imprisonment and fine. If any act done in consequence of the abetment causes hurt, the abettor can face life imprisonment.","यदि कोई व्यक्ति किसी अपराध, जो मृत्यु या आजीवन कारावास से दंडनीय है, की अभिप्रेरणा करता है, लेकिन अपराध नहीं होता है, तो अभिप्रेरक को 7 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा। यदि उस अभिप्रेरणा के परिणामस्वरूप कोई कार्य किसी को चोट पहुँचाता है, तो अभिप्रेरक को आजीवन कारावास भी हो सकता है।","[""abetment"", ""severe offences""]","[""abetment""]","[""If A abets B to commit murder, but B does not commit it, A can be punished under this section.""]",[],[]
116,Abetment of offence punishable with imprisonment if offence not committed,Chapter V,True,False,"Punishable with one-fourth of the longest term provided for the offence, or fine, or both","If a person abets an offence punishable with imprisonment, and the offence is not committed in consequence, and there is no express provision for punishment, the abettor is punishable with imprisonment up to one-fourth of the longest term provided for the offence, or with fine, or both.","यदि कोई व्यक्ति किसी अपराध, जो कारावास से दंडनीय है, की अभिप्रेरणा करता है, और उस अपराध के परिणामस्वरूप अपराध नहीं होता है, तथा कोई विशेष दंड प्रावधान नहीं है, तो अभिप्रेरक को उस अपराध के लिए निर्धारित अधिकतम अवधि के एक-चौथाई तक के कारावास, या जुर्माने, या दोनों से दंडित किया जाएगा।","[""abetment"", ""imprisonment"", ""punishment""]","[""abetment""]","[""If A abets B to commit theft, but B does not commit it, A can still be punished under this section.""]",[],[]
117,Abetting commission of offence by the public or by more than ten persons,Chapter V,False,False,"Imprisonment up to 3 years, or fine, or both","Whoever abets the commission of an offence by the public generally or by any number or class of persons exceeding ten is punishable with imprisonment up to 3 years, or fine, or both.","जो कोई जनता या दस से अधिक व्यक्तियों की किसी संख्या या वर्ग द्वारा किसी अपराध के किए जाने की अभिप्रेरणा करता है, वह 3 वर्ष तक के कारावास, या जुर्माने, या दोनों से दंडनीय होगा।","[""abetment"", ""public offence""]","[""abetment""]","[""Inciting a mob to commit violence is punishable under this section.""]",[],[]
118,Concealing design to commit offence punishable with death or imprisonment for life,Chapter V,False,False,"Imprisonment up to 7 years, or fine, or both","Whoever intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence punishable with death or imprisonment for life, voluntarily conceals by any act or illegal omission the existence of a design to commit such offence, shall be punished with imprisonment up to 7 years, or fine, or both.","जो कोई मृत्यु या आजीवन कारावास से दंडनीय अपराध के किए जाने की योजना को जानबूझकर छुपाता है, जिससे उस अपराध के किए जाने की संभावना बढ़ जाती है, वह 7 वर्ष तक के कारावास, या जुर्माने, या दोनों से दंडनीय होगा।","[""abetment"", ""concealment"", ""severe offence""]","[""abetment"", ""concealment""]","[""Hiding information about a planned murder is punishable under this section.""]",[],[]
119,Public servant concealing design to commit offence which it is his duty to prevent,Chapter V,False,False,"If offence is committed, imprisonment up to 7 years; if not, up to 2 years or fine, or both","A public servant who intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence which it is his duty to prevent, voluntarily conceals by any act or omission the existence of a design to commit such offence, shall be punished accordingly.","यदि कोई लोक सेवक किसी अपराध के किए जाने की योजना को, जिसे रोकना उसका कर्तव्य है, जानबूझकर छुपाता है, तो यदि अपराध हो जाता है तो उसे 7 वर्ष तक का कारावास और यदि अपराध नहीं होता है तो उसे 2 वर्ष तक का कारावास, या जुर्माना, या दोनों से दंडित किया जाएगा।","[""public servant"", ""concealment"", ""abetment""]","[""abetment"", ""public servant""]","[""A police officer hiding information about an impending robbery is punishable under this section.""]",[],[]
120,Concealing design to commit offence punishable with imprisonment,Chapter V,True,False,"Imprisonment up to 1/4 of longest term provided for offence, or fine, or both","Whoever intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence punishable with imprisonment, voluntarily conceals by any act or omission the existence of a design to commit such offence, shall, if the offence is committed, be punished with imprisonment up to one-fourth of the longest term provided for the offence; if the offence is not committed, he shall be punished with imprisonment up to one-eighth of the longest term, or fine, or both.","जो कोई कारावास से दंडनीय अपराध के किए जाने की योजना को जानबूझकर छुपाता है, यदि अपराध हो जाता है तो उसे उस अपराध के लिए निर्धारित अधिकतम अवधि के एक-चौथाई तक के कारावास से, और यदि अपराध नहीं होता है तो अधिकतम अवधि के एक-आठवें तक के कारावास, या जुर्माने, या दोनों से दंडित किया जाएगा।","[""abetment"", ""concealment"", ""imprisonment""]","[""abetment"", ""concealment""]","[""Concealing plans of a theft by another person is punishable under this section.""]",[],[]
120A,Definition of criminal conspiracy,Chapter V-A,True,False,Punishable according to nature of offence planned,"When two or more persons agree to do, or cause to be done, an illegal act, or a legal act by illegal means, such an agreement is designated a criminal conspiracy.","जब दो या अधिक व्यक्ति किसी अवैध कार्य को करने या कराने के लिए, या किसी वैध कार्य को अवैध तरीकों से करने के लिए सहमत होते हैं, तो ऐसी सहमति को आपराधिक षड्यंत्र कहा जाता है।","[""criminal conspiracy"", ""agreement"", ""illegal act""]","[""conspiracy""]","[""Two people agreeing to commit a robbery is a criminal conspiracy.""]",[],[]
120B,Punishment of criminal conspiracy,Chapter V-A,False,False,"Punished as per nature of offence; for others, imprisonment up to 6 months or fine, or both","Whoever is a party to a criminal conspiracy to commit an offence punishable with death, imprisonment for life, or rigorous imprisonment for two years or upwards shall be punished in the same manner as if he had abetted such offence. In other cases, shall be punished with imprisonment up to six months, or with fine, or with both.","जो कोई मृत्यु, आजीवन कारावास, या दो वर्ष या उससे अधिक कठोर कारावास से दंडनीय अपराध करने के लिए आपराधिक षड्यंत्र का पक्षकार है, उसे उसी प्रकार दंडित किया जाएगा जैसे उसने उस अपराध की अभिप्रेरणा की हो। अन्य मामलों में, उसे छह माह तक के कारावास, या जुर्माने, या दोनों से दंडित किया जाएगा।","[""criminal conspiracy"", ""punishment""]","[""conspiracy""]","[""A group planning to commit murder will be punished under this section.""]",[],[]
121,"Waging, or attempting to wage war, or abetting waging of war, against the Government of India",Chapter VI,False,False,Punishable with death or imprisonment for life and fine,"Whoever wages war against the Government of India, or attempts to wage such war, or abets the waging of such war, shall be punished with death or imprisonment for life and shall also be liable to fine.","जो कोई भारत सरकार के विरुद्ध युद्ध करता है, या करने का प्रयास करता है, या ऐसे युद्ध करने की अभिप्रेरणा करता है, उसे मृत्यु या आजीवन कारावास और जुर्माने से दंडित किया जाएगा।","[""waging war"", ""treason""]","[""offences against state""]","[""Joining a militant group to wage war against India falls under this section.""]",[],[]
121A,Conspiracy to commit offences punishable by Section 121,Chapter VI,False,False,Imprisonment for life or up to 10 years with fine,"Whoever within or without India conspires to commit any of the offences punishable by Section 121, or to deprive the Government of India of the sovereignty of any part of its territory, shall be punished with imprisonment for life, or imprisonment up to 10 years, and shall also be liable to fine.","जो कोई भारत के भीतर या बाहर, धारा 121 से दंडनीय किसी अपराध को करने की या भारत सरकार को उसके किसी भाग के क्षेत्राधिकार से वंचित करने की षड्यंत्र करता है, उसे आजीवन कारावास या 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""conspiracy"", ""waging war"", ""treason""]","[""offences against state""]","[""Planning with others to start a war against India comes under this section.""]",[],[]
122,"Collecting arms, etc., with intention of waging war against the Government of India",Chapter VI,False,False,Imprisonment for life or imprisonment up to 10 years and fine,"Whoever collects men, arms, or ammunition or otherwise prepares to wage war with the intention of waging or being prepared to wage war against the Government of India shall be punished with imprisonment for life or imprisonment up to 10 years and fine.","जो कोई पुरुषों, हथियारों या गोला-बारूद को एकत्र करता है या अन्यथा भारत सरकार के विरुद्ध युद्ध करने या युद्ध करने की तैयारी करने के इरादे से तैयार करता है, उसे आजीवन कारावास या 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""waging war"", ""collecting arms""]","[""offences against state""]","[""Secretly gathering weapons to fight the Government of India falls under this section.""]",[],[]
123,Concealing with intent to facilitate design to wage war,Chapter VI,False,False,Imprisonment up to 10 years and fine,"Whoever, by any act or illegal omission, conceals the existence of a design to wage war against the Government of India, intending by such concealment to facilitate, or knowing it to be likely that such concealment will facilitate, the waging of such war, shall be punished with imprisonment up to 10 years and fine.","जो कोई भारत सरकार के विरुद्ध युद्ध करने की योजना के अस्तित्व को छुपाता है, और ऐसा करने का उद्देश्य उस युद्ध को सुविधाजनक बनाना है या यह जानता है कि ऐसा छुपाना उस युद्ध को सुविधाजनक बना सकता है, तो उसे 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""waging war"", ""concealment""]","[""offences against state""]","[""Hiding information about a planned armed rebellion against the Government of India falls under this section.""]",[],[]
124,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",Chapter VI,False,False,Imprisonment up to 7 years and fine,"Whoever, with the intention of inducing or compelling the President of India or the Governor of any State to exercise or refrain from exercising in any manner any of the lawful powers of such office, assaults or wrongfully restrains, or attempts to assault or wrongfully restrain, or overawes by means of criminal force or the show of criminal force, shall be punished with imprisonment up to 7 years and fine.","जो कोई राष्ट्रपति या किसी राज्य के राज्यपाल को किसी वैध शक्ति का प्रयोग करने या न करने के लिए प्रेरित या बाध्य करने के उद्देश्य से हमला करता है, गलत तरीके से रोकता है, या ऐसा करने का प्रयास करता है, या आपराधिक बल के माध्यम से भयभीत करता है, तो उसे 7 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""assault"", ""president"", ""governor""]","[""offences against state""]","[""Physically attacking a Governor to force a decision comes under this section.""]",[],[]
124A,Sedition,Chapter VI,False,False,"Imprisonment for life, or up to 3 years with fine","Whoever, by words, spoken or written, or by signs, or by visible representation, or otherwise, brings or attempts to bring into hatred or contempt, or excites or attempts to excite disaffection towards the Government established by law in India, shall be punished with imprisonment for life, or with imprisonment up to 3 years, to which fine may be added.","जो कोई शब्दों, संकेतों या दृश्य प्रतिनिधित्व आदि के माध्यम से भारत में विधि द्वारा स्थापित सरकार के प्रति घृणा या अवमानना उत्पन्न करता है या उत्पन्न करने का प्रयास करता है, या असंतोष भड़काता है या भड़काने का प्रयास करता है, उसे आजीवन कारावास या 3 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""sedition"", ""disaffection"", ""hatred""]","[""offences against state""]","[""Inciting violence against the Government through speeches is punishable under this section.""]",[],[]
125,Waging war against any Asiatic Power in alliance with the Government of India,Chapter VI,False,False,"Imprisonment for life, or up to 7 years and fine","Whoever wages war against the Government of any Asiatic Power in alliance or at peace with the Government of India, or attempts to wage such war, or abets the waging of such war, shall be punished with imprisonment for life, or with imprisonment up to 7 years and fine.","जो कोई भारत सरकार के साथ मित्रता या संधि में रहने वाले किसी एशियाई शक्ति के विरुद्ध युद्ध करता है, करने का प्रयास करता है, या ऐसा करने की अभिप्रेरणा करता है, उसे आजीवन कारावास या 7 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""waging war"", ""asiatic power""]","[""offences against state""]","[""Joining a group to wage war against a friendly Asian nation comes under this section.""]",[],[]
126,Committing depredation on territories of Power at peace with the Government of India,Chapter VI,False,False,"Imprisonment up to 7 years, fine, and forfeiture of property","Whoever commits depredation, or makes preparations to commit depredation, on the territories of any Power in alliance or at peace with the Government of India shall be punished with imprisonment up to 7 years, fine, and forfeiture of property used in the depredation.","जो कोई भारत सरकार के साथ मित्रता में या संधि में रहने वाले किसी शक्ति के क्षेत्र में लूटपाट करता है या करने की तैयारी करता है, उसे 7 वर्ष तक के कारावास, जुर्माने और लूटपाट में प्रयुक्त संपत्ति की जब्ती से दंडित किया जाएगा।","[""depredation"", ""territories"", ""alliance""]","[""offences against state""]","[""Crossing the border to loot property in a friendly nation's territory is covered under this section.""]",[],[]
127,Receiving property taken by war or depredation mentioned in Sections 125 and 126,Chapter VI,False,False,"Imprisonment up to 7 years, fine, and forfeiture of property","Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in Sections 125 and 126 shall be punished with imprisonment up to 7 years, fine, and forfeiture of the property so received.","जो कोई यह जानते हुए कि संपत्ति धारा 125 या 126 में उल्लिखित किसी अपराध में ली गई है, उसे प्राप्त करता है, उसे 7 वर्ष तक के कारावास, जुर्माने और प्राप्त संपत्ति की जब्ती से दंडित किया जाएगा।","[""receiving stolen property"", ""war"", ""depredation""]","[""offences against state""]","[""Knowingly buying goods looted during cross-border depredation falls under this section.""]",[],[]
128,Public servant voluntarily allowing prisoner of State or war to escape,Chapter VI,False,False,"Imprisonment for life, or up to 10 years with fine","A public servant who, having custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape shall be punished with imprisonment for life, or with imprisonment up to 10 years and fine.","कोई लोक सेवक, जिसके पास किसी राज्य के बंदी या युद्ध बंदी की हिरासत है, यदि जानबूझकर उसे भागने देता है, तो उसे आजीवन कारावास या 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""public servant"", ""prisoner escape""]","[""offences against state""]","[""A jailor deliberately allowing a war prisoner to escape is punishable under this section.""]",[],[]
129,Public servant negligently suffering such prisoner to escape,Chapter VI,True,False,Imprisonment up to 3 years and fine,"A public servant who, having custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape shall be punished with imprisonment up to 3 years and fine.","कोई लोक सेवक, जिसके पास किसी राज्य के बंदी या युद्ध बंदी की हिरासत है, यदि लापरवाही से उसे भाग जाने देता है, तो उसे 3 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""public servant"", ""prisoner escape"", ""negligence""]","[""offences against state""]","[""A guard falling asleep and allowing a State prisoner to escape is punishable under this section.""]",[],[]
130,"Aiding escape of, rescuing or harbouring such prisoner",Chapter VI,False,False,"Imprisonment for life, or up to 10 years with fine","Whoever knowingly aids or assists in the escape of, or rescues, or harbours a State prisoner or prisoner of war shall be punished with imprisonment for life, or with imprisonment up to 10 years and fine.","जो कोई किसी राज्य बंदी या युद्ध बंदी के भागने में सहायता करता है, या उसे बचाता है, या उसे छुपाता है, उसे आजीवन कारावास या 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""aiding escape"", ""harbouring prisoner""]","[""offences against state""]","[""Helping a war prisoner hide after escape is punishable under this section.""]",[],[]
131,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty",Chapter VI,False,False,"Imprisonment for life, or up to 10 years with fine","Whoever abets the committing of mutiny by an officer, soldier, sailor or airman in the Army, Navy or Air Force of India, or attempts to seduce such personnel from their allegiance or duty, shall be punished with imprisonment for life, or with imprisonment up to 10 years and fine.","जो कोई भारतीय सेना, नौसेना या वायुसेना के किसी अधिकारी, सैनिक, नाविक या वायुसैनिक द्वारा विद्रोह करने की अभिप्रेरणा करता है, या उसे उसकी निष्ठा या कर्तव्य से विचलित करने का प्रयास करता है, उसे आजीवन कारावास या 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""abetting mutiny"", ""seducing soldier""]","[""offences against state""]","[""Encouraging a soldier to revolt against the Army is punishable under this section.""]",[],[]
132,"Abetment of mutiny, if mutiny is committed in consequence thereof",Chapter VI,False,False,"Death or imprisonment for life, or up to 10 years and fine","Whoever abets the committing of mutiny by an officer, soldier, sailor or airman in the Army, Navy or Air Force of India, shall, if mutiny is committed in consequence of that abetment, be punished with death or imprisonment for life, or with imprisonment up to 10 years and fine.","जो कोई भारतीय सेना, नौसेना या वायुसेना के किसी अधिकारी, सैनिक, नाविक या वायुसैनिक द्वारा विद्रोह करने की अभिप्रेरणा करता है, और उस अभिप्रेरणा के कारण विद्रोह किया जाता है, तो उसे मृत्यु, आजीवन कारावास या 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""abetting mutiny"", ""mutiny"", ""army""]","[""offences against state""]","[""Encouraging soldiers to revolt, leading to an actual mutiny, is punishable under this section.""]",[],[]
133,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office",Chapter VI,False,False,Imprisonment up to 3 years and fine,"Whoever abets an assault by an officer, soldier, sailor or airman in the Army, Navy or Air Force of India on their superior officer, while such superior officer is in the execution of his office, shall be punished with imprisonment up to 3 years and fine.","जो कोई भारतीय सेना, नौसेना या वायुसेना के किसी अधिकारी, सैनिक, नाविक या वायुसैनिक द्वारा अपने उच्च अधिकारी पर, जब वह अपने कार्यालय के कार्यों का निष्पादन कर रहा हो, हमला करने की अभिप्रेरणा करता है, उसे 3 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""abetment"", ""assault on superior officer"", ""army""]","[""offences against state""]","[""Encouraging a soldier to attack his commanding officer while on duty falls under this section.""]",[],[]
